OBJECTID,Lat,Long,Speciality,contract,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,ServiceDisclosure,Has_Reports,Reports_Location,GeocodeScore,GeocodeSource
11,-117.0761036,46.41313169,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",68100,40000681,31863,AF,SYCAMORE GLEN,OP,1585 SYCAMORE ST,CLARKSTON,WA,99403,Asotin,1587 Sycamore ST,Clarkston,WA,99403,(509) 751-9308,,(509) 758-9772,1B,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68100,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68100,100,StreetAddress
12,-117.0761634,46.41312799,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",68200,40000682,31864,AF,SYCAMORE GLEN,OP,1589 SYCAMORE,CLARKSTON,WA,99403,Asotin,1587 Sycamore St,Clarkston,WA,99403,(509) 751-9405,,(509) 758-9772,1B,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68200,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68200,100,StreetAddress
13,-117.0582418,46.40702986,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,409900,40004099,35840,AF,TENDERCARE HOMES,OP,1297 LIBBY ST,CLARKSTON,WA,99403,Asotin,1297 Libby Street,CLARKSTON,WA,994032335,(509) 758-2119,,,1B,"SPMI, SPDE, SPDD",1080XS-12 ,"Evans, Geni L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=409900,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=409900,100,PointAddress
14,-117.0839109,46.4142498,"Mental Health, Dementia",Adult Family Home,754009,40010833,45379,AF,Trusted Care Adult Family Home,OP,1862 Golfview Drive,Clarkston,WA,99403,Asotin,PO Box 277,Clarkston,WA,99403,(509) 295-6015,,,1B,"SPMI, SPDE",1080XS-12 ,"Roche', Anita L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754009,No, ,100,PointAddress
15,-119.0556297,46.15712011,Developmental Disabilities,"Meaningful Day, Adult Family Home",645700,40006457,37827,AF,A COUNTRY HOME,OP,212305 E 355 PR SE HANEY RD,KENNEWICK,WA,99337,Benton,212305 E 355 PR SE HANEY RD,KENNEWICK,WA,99337,(509) 582-7020,,(509) 582-0830,1C,SPDD,"1080XS-12 , 1080XS-12 ","Collins, Tena ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=645700,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=645700,100,PointAddress
16,-119.1554818,46.19887021,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,751414,40004012,40401,AF,A PART OF OUR FAMILY,OP,2618 W 10TH AVE,KENNEWICK,WA,99336,Benton,2618 W 10TH AVE,KENNEWICK,WA,99336,(509) 585-4187,,(509) 591-0920,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"STOVER, CINDY A. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751414,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751414,100,PointAddress
17,-119.0528205,46.15513971,"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",751413,40009038,40421,AF,A PART OF THE FAMILY,OP,213504 E GAME FARM RD,KENNEWICK,WA,99337,Benton,213504 E GAME FARM RD,KENNEWICK,WA,99337,(509) 582-3287,,(509) 586-9644,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Settle, Ramona J. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751413,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751413,100,PointAddress
18,-119.1279407,46.18496994,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,720500,40007205,38478,AF,A PLACE LIKE HOME,OP,704 W 26TH AVE,KENNEWICK,WA,99337,Benton,704 W 26TH AVE,KENNEWICK,WA,99337,(509) 582-0203,,(509) 586-0784,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Lawson, Denise ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=720500,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=720500,100,PointAddress
19,-119.1279409,46.18448996,Developmental Disabilities,Adult Family Home,750114,40008023,38726,AF,A PLACE TO CALL HOME,OP,705 W 26TH AVE,KENNEWICK,WA,99337,Benton,705 W 26TH AVE,KENNEWICK,WA,99337,(509) 586-3108,,,1C,SPDD,1080XS-12 ,"Cassano, Ashley C. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750114,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750114,100,PointAddress
20,-119.1685919,46.21622124,"Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",751026,40008670,39838,AF,AMETHYST GARDEN,OP,3508 W HOOD AVE,KENNEWICK,WA,99336,Benton,3508 W HOOD AVE,KENNEWICK,WA,99336,(509) 619-0337,,,1C,"SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","FLOYD, BRANDY M. ",5,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751026,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751026,100,PointAddress
21,-119.2729622,46.2293706,"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",752583,40009911,42184,AF,Badger Mountain Adult Family Home LLC,OP,1756 Silver Ct,Richland,WA,99352,Benton,1756 Silver Ct,Richland,WA,99352,(509) 521-7327,,(509) 491-3870,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Valsan, Tatyana Y. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752583,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752583,100,PointAddress
22,-119.1055813,46.18408868,"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home",227401,40002274,33900,AF,Black's AFH,OP,727 E 27th Ave,Kennewick,WA,99337,Benton,727 E 27th Ave,Kennewick,WA,99337,(509) 586-6192,,(509) 586-6192,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Black, Doreen R. ",5,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=227401,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=227401,100,PointAddress
23,-119.2379592,46.21125065,Dementia,Adult Family Home,752706,40009965,42300,AF,Careing Hands Adult Family Home,OP,8610 W Bruneau Ave,Kennewick,WA,99336,Benton,8610 W Bruneau Ave,Kennewick,WA,99336,(509) 619-0212,,(509) 619-0212,1C,SPDE,1080XS-12 ,"Krzyzanek, Annaliese L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752706,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752706,100,PointAddress
24,-119.2973822,46.23524026,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753051,40009171,43800,AF,Cherish Cove LLC,OP,1459 BADGER MOUNTAIN LOOP,RICHLAND,WA,99352,Benton,1459 BADGER MOUNTAIN LOOP,RICHLAND,WA,99352,(509) 374-7458,(509) 628-1118,,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"AMOR QUIGLEY, VIOLETA ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753051,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753051,100,PointAddress
25,-119.2691818,46.30293865,"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home",95903,40000959,32219,AF,CHERISHED LIVING,OP,1939 DAVISON AVE,RICHLAND,WA,99352,Benton,1939 DAVISON AVE,RICHLAND,WA,99352,(509) 943-2624,,(509) 946-1542,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Kelly, Glenford C. ",5,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=95903,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=95903,100,PointAddress
26,-119.117332,46.2052388,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",141503,40001415,32826,AF,COLONIAL HOUSE,OP,3 W 3rd Ave,Kennewick,WA,99336,Benton,3 W 3rd Ave,Kennewick,WA,99336,(509) 586-7138,,(800) 617-1965,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","POLK, JOY ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=141503,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=141503,100,PointAddress
27,-119.3779036,46.29739547,"Mental Health, Dementia",Adult Family Home,753872,40010695,45114,AF,Comfort Living AFH LLC,OP,536 Athens Dr,West Richland,WA,99353,Benton,536 Athens Dr,West Richland,WA,99353,(509) 521-1177,,,1C,"SPMI, SPDE",1080XS-12 ,"Rakhmestryuk, Oksana ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753872,No, ,100,Postal
28,-119.3001426,46.27229998,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,752207,40007249,41679,AF,DESERT GRACE ADULT FAMILY HOME LLC,OP,2212 Frankfort St,Richland,WA,99352,Benton,2212 Frankfort St,Richland,WA,99352,(509) 943-3356,,(509) 946-1063,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Hansen, Yolanda F. ",3,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752207,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752207,100,PointAddress
29,-119.2377101,46.21108881,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,752806,40010019,42453,AF,Desert Wind Gardens AFH,OP,8606 W Bruneau Ave,Kennewick,WA,99336,Benton,8606 W Bruneau Ave,Kennewick,WA,99336,(509) 396-3714,,(509) 396-5100,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Gorinchoy, Nataliya G. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752806,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752806,100,PointAddress
30,-119.1413411,46.20128007,"Mental Health, Dementia","Expanded Community Services, Adult Family Home",70801,40000708,31897,AF,ENGLISH ROSE MANOR,OP,1611 W 7TH PL,KENNEWICK,WA,99336,Benton,1611 W 7TH PL,KENNEWICK,WA,99336,(509) 582-8880,(509) 628-0844,,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Richwine, Alma L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=70801,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=70801,100,PointAddress
31,-119.1593414,46.1815793,Dementia,Adult Family Home,750866,40008599,39715,AF,FLEUR DE LIS I,OP,3203 S FISHER CT,KENNEWICK,WA,99337,Benton,3203 S FISHER CT,KENNEWICK,WA,99337,(509) 582-6200,(509) 582-7968,,1C,SPDE,1080XS-12 ,"Lang Jones, Debra L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750866,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750866,100,PointAddress
32,-119.1593399,46.18131873,Dementia,No Contract,750902,40008598,39714,AF,FLEUR DE LIS II,OP,3207 S FISHER COURT,KENNEWICK,WA,99337,Benton,3203 S FISHER CT,KENNEWICK,WA,99337,(509) 582-7968,(509) 582-7968,,1C,SPDE,,"Lang Jones, Debra L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750902,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750902,100,PointAddress
33,-119.1593708,46.18199105,Dementia,No Contract,751427,40009057,40461,AF,FLEUR DE LIS III,OP,3117 S FISHER CT #B,KENNEWICK,WA,99337,Benton,3117 S FISHER CT #B,KENNEWICK,WA,99337,(509) 585-0400,,(509) 582-7968,1C,SPDE,,"Patton-Morris, Paige E. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751427,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751427,100,PointAddress
34,-119.1593708,46.18199105,Dementia,No Contract,751449,40009137,40578,AF,FLEUR DE LIS IV,OP,3117 S FISHER CT #B,KENNEWICK,WA,99337,Benton,3117 S FISHER CT #B,KENNEWICK,WA,99337,(509) 582-7968,,(509) 582-7968,1C,SPDE,,"Lang Jones, Debra L. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751449,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751449,100,PointAddress
35,-119.1392815,46.20866069,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753268,40010249,44041,AF,From the Heart AFH Inc,OP,1428 W 1st Ave,Kennewick,WA,99336,Benton,1428 W 1st Ave,Kennewick,WA,99336,(509) 820-5253,,(509) 545-5117,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Dallas, Toni Renee ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753268,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753268,100,PointAddress
36,-119.1375191,46.1947094,"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753316,40005466,44325,AF,Gentle Hands Home Care LLC,OP,1508 S Olympia Pl,Kennewick,WA,99337,Benton,1508 S Olympia Pl,Kennewick,WA,99337,(509) 619-0330,,(509) 572-2902,1C,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Babiy, Alla S. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753316,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753316,100,PointAddress
37,-119.2425806,46.21163101,"Mental Health, Dementia",Adult Family Home,753389,40009390,44429,AF,Grandridge Meadows AFH LLC,OP,207 N QUEBEC ST,KENNEWICK,WA,99336,Benton,207 N QUEBEC ST,KENNEWICK,WA,99336,(509) 221-1166,(509) 210-5591,,1C,"SPMI, SPDE",1080XS-12 ,"Korf, Marina ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753389,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753389,100,PointAddress
38,-119.1834394,46.19717911,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753328,40010329,44182,AF,Kennewick Best Home Care LLC,OP,4601 W 12th Ave,Kennewick,WA,99338,Benton,4601 W 12th Ave,Kennewick,WA,99338,,,,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Al-Salehi, Lateef ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753328,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753328,100,PointAddress
39,-119.1562019,46.21346982,"Mental Health, Dementia",No Contract,754127,40003322,45600,AF,Legacy Cottage,OP,2615 W Entiat Ave,Kennewick,WA,99336,Benton,510 N Louisiana St,Kennewick,WA,99336,(509) 734-8928,,,1C,"SPMI, SPDE",,"Gibb, Dwight ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754127,No, ,100,PointAddress
40,-119.1562011,46.21317908,"Mental Health, Dementia",Adult Family Home,291001,40002910,34592,AF,LEGACY HOME,OP,2614 W Deschutes Ave,Kennewick,WA,99336,Benton,2615 W Entiat Ave,Kennewick,WA,99336,(509) 734-9569,,(509) 374-2808,1C,"SPMI, SPDE",1080XS-12 ,"McBride, Bernadette M. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=291001,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=291001,100,PointAddress
41,-119.1293505,46.19980031,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753206,40010326,44174,AF,Leila's Adult Family Home,OP,825 S Ione St,Kennewick,WA,99336,Benton,825 S Ione St,Kennewick,WA,99336,(509) 396-9400,,(509) 491-3285,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Adi, Omar ",3,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753206,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753206,100,PointAddress
42,-119.2631212,46.2348287,"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",752898,40008641,43714,AF,Leslie Canyon,OP,1440 Oxford Ave,Richland,WA,99352,Benton,1440 Oxford Ave,Richland,WA,99352,(509) 396-7901,,(509) 396-7962,1C,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Hollenback, Luzvilla B. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752898,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752898,100,PointAddress
43,-119.2725821,46.3011296,Dementia,Adult Family Home,750308,40008166,38962,AF,LILLYS ADULT FAMILY HOME,OP,1906 HOXIE AVE,RICHLAND,WA,99354,Benton,1906 HOXIE AVE,RICHLAND,WA,99354,(509) 943-9038,,(509) 946-9065,1C,SPDE,1080XS-12 ,"TUBIC, LJILJANA ",4,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750308,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750308,100,PointAddress
44,-119.2436505,46.22250916,"Mental Health, Dementia",Adult Family Home,750997,40008671,39839,AF,MAGDALENA ADULT FAMILY HOME,OP,1207 N QUEBEC ST,KENNEWICK,WA,99336,Benton,1207 N QUEBEC ST,KENNEWICK,WA,99336,(509) 396-7295,,(509) 396-7373,1C,"SPMI, SPDE",1080XS-12 ,"NICOARA, MAGDALENA ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750997,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750997,100,PointAddress
45,-119.2892299,46.29967885,"Mental Health, Dementia",No Contract,754119,40010876,45460,AF,McMurray Adult Family Home LLC,OP,1924 McMurray Ave,Richland,WA,99354,Benton,1924 McMurray Ave,Richland,WA,99354,(509) 392-8222,,(509) 392-8222,1C,"SPMI, SPDE",,"Sebsibie, Rahel ",5,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754119,No, ,100,PointAddress
46,-119.3610726,46.28501015,"Mental Health, Dementia",Adult Family Home,752930,40010095,43710,AF,Parkside Adult Care Home LLC,OP,1702 S Highlands Blvd,West Richland,WA,99353,Benton,1702 S Highlands Blvd,West Richland,WA,99353,(509) 420-4424,,(509) 319-2121,1C,"SPMI, SPDE",1080XS-12 ,"Voloshchuk, Anna Y. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752930,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752930,100,PointAddress
47,-119.3080111,46.27293123,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753544,40009689,44613,AF,Peace of Mind Adult Family Home,OP,631 Riverstone Dr,Richland,WA,99352,Benton,631 Riverstone Dr,Richland,WA,99352,(509) 420-4146,,(509) 396-5522,1C,"SPMI, SPDE, SPDD",1080XS-12 ,"Deery, Tammy R. ",6,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753544,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753544,100,PointAddress
